"","country","elec_rank","elec_consumption_bil_kwh","gas_rank","gas_consumption_k_barrels_per_day","jet_rank","jet_consumption_k_barrels_per_day","pop_rank","pop2020","pop2019","pop_growth_rate","land_area","pop_density","covid_rank","total_cases","new_cases","total_deaths","new_deaths","total_recovered","active_cases","serious_critical_cases","cases_per_M_pop","deaths_per_M_pop","total_tests","tests_per_M_pop","population_covid","pov_rank","pop_below_poverty_line"
"153","Malta",140,"1.8",144,"1.7",101,"2.2",174,441.543,440.372,1.0027,316,1393.5823,131,"618","2","9","","525","84","1","1,400","20","68,038","154,127","441,442",124,16.3
"156","Mauritania",158,"0.7",173,"0.5",150,"0.4",127,4649.658,4525.696,1.0274,1030700,4.3909,142,"423","","20","","21","382","","91","4","2,583","557","4,637,608",56,31
"157","Mauritius",135,"2.6",131,"2.9",75,"5.5",157,1271.768,1269.668,1.0017,2040,622.3863,146,"335","","10","","322","3","","263","8","114,236","89,837","1,271,588",159,8
"159","Mexico",15,"232",6,"777",23,"58",10,128932.753,127575.529,1.0106,1964375,64.9446,15,"84,627","3,227","9,415","371","59,610","15,602","378","657","73","244,858","1,901","128,810,940",31,46.2
"165","Mongolia",116,"5.1",100,"9.1",137,"0.8",136,3278.29,3225.167,1.0165,1564110,2.062,159,"179","","","","44","135","10","55","","13,641","4,167","3,273,383",62,29.6
"166","Montenegro",128,"3.4",163,"0.9",158,"0.3",168,628.066,627.987,1.0001,13812,45.4668,149,"324","","9","","315","0","","516","14","10,167","16,188","628,059",157,8.6
"168","Morocco",63,"27",83,"13",54,"11",40,36910.56,36471.769,1.012,446550,81.6745,62,"7,740","26","203","1","5,377","2,160","1","210","6","196,469","5,329","36,870,903",131,15
"169","Mozambique",87,"11",118,"4.1",114,"1.5",47,31255.435,30366.036,1.0293,801590,37.8823,154,"244","10","2","","90","152","","8","0.06","10,261","329","31,168,238",32,46.1
"172","Namibia",122,"3.8",99,"9.2",136,"0.8",143,2540.905,2494.53,1.0186,825615,3.0214,191,"23","","","","14","9","","9","","3,412","1,345","2,536,578",69,28.7
"174","Nepal",127,"3.5",134,"2.7",116,"1.4",49,29136.808,28608.71,1.0185,147181,194.3777,102,"1,401","189","6","","219","1,176","","48","0.2","173,784","5,975","29,087,562",78,25.2
"175","Netherlands",31,"107",30,"96",19,"72",68,17134.872,17097.13,1.0022,41850,408.5336,21,"46,257","131","5,951","20","N/A","N/A","170","2,700","347","349,150","20,380","17,131,629",156,8.8
"178","Nicaragua",126,"3.6",112,"5.7",145,"0.5",110,6624.554,6545.502,1.0121,130373,50.206,125,"759","","35","","370","354","","115","5","","","6,617,408",63,29.6
"179","Niger",153,"0.9",145,"1.7",164,"0.2",57,24206.644,23310.715,1.0384,1267000,18.3984,116,"955","","64","","813","78","","40","3","6,020","250","24,115,230",33,45.4
"180","Nigeria",68,"23",21,"179",82,"3.8",7,206139.589,200963.599,1.0258,923768,217.5477,53,"9,302","","261","","2,697","6,344","7","45","1","60,825","296","205,640,180",5,70
