"","country","elec_rank","elec_consumption_bil_kwh","gas_rank","gas_consumption_k_barrels_per_day","jet_rank","jet_consumption_k_barrels_per_day","pop_rank","pop2020","pop2019","pop_growth_rate","land_area","pop_density"
"50","Cyprus",123,"3.8",102,"8.5",74,"5.8",158,1207.359,1198.575,1.0073,9251,129.5617
"51","Czech Republic",41,"60",50,"39",70,"6.5",86,10708.981,10689.209,1.0018,78865,135.5381
"52","Denmark",59,"33",56,"33",41,"18",115,5792.202,5771.876,1.0035,43094,133.9369
"53","Djibouti",174,"0.3",169,"0.6",102,"2.2",160,988,973.56,1.0148,23200,41.9638
"54","Dominica",191,"0.09",183,"0.3",NA,NA,203,71.986,71.808,1.0025,751,95.6165
"55","Dominican Republic",85,"12",65,"27",57,"10",85,10847.91,10738.958,1.0101,48671,220.6439
"56","Ecuador",70,"20",42,"65",67,"6.9",67,17643.054,17373.662,1.0155,276841,62.7568
"57","Egypt",25,"140",25,"126",32,"29",14,102334.404,100388.073,1.0194,1002450,100.1427
"58","El Salvador",110,"5.9",93,"10",97,"2.6",111,6486.205,6453.553,1.0051,21041,306.7132
"59","Equatorial Guinea",192,"0.09",174,"0.5",132,"0.8",154,1402.985,1355.986,1.0347,28051,48.34
"60","Eritrea",172,"0.3",195,"0.2",NA,NA,133,3546.421,3497.117,1.0141,117600,29.7374
"61","Estonia",99,"8",111,"5.8",134,"0.8",155,1326.535,1325.648,1.0007,45227,29.311
"62","Ethiopia",109,"6",121,"3.9",66,"7.6",12,114963.588,112078.73,1.0257,1104300,101.493
"63","Falkland Islands (Malvinas)",205,"0.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Faroe Islands",183,"0.2",181,"0.4",NA,NA,211,48.863,48.678,1.0038,1393,34.9447
"65","Fiji",156,"0.8",161,"1",90,"3.1",161,896.445,889.953,1.0073,18272,48.7058
"66","Finland",35,"81",52,"36",48,"15",116,5540.72,5532.156,1.0015,338424,16.3468
"67","France",10,"453",20,"180",7,"146",22,65273.511,65129.728,1.0022,551695,118.0539
"68","French Polynesia",161,"0.6",157,"1.1",149,"0.4",185,280.908,279.287,1.0058,4167,67.0235
