"","country","elec_rank","elec_consumption_bil_kwh","gas_rank","gas_consumption_k_barrels_per_day","jet_rank","jet_consumption_k_barrels_per_day","pop_rank","pop2020","pop2019","pop_growth_rate","land_area","pop_density","covid_rank","total_cases","new_cases","total_deaths","new_deaths","total_recovered","active_cases","serious_critical_cases","cases_per_M_pop","deaths_per_M_pop","total_tests","tests_per_M_pop","population_covid","pov_rank","pop_below_poverty_line","health_dol_rank","health_expenditure_percent_GDP","beds_rank","bed_density_per_k_pop","life_rank","life_expectancy_at_birth_years","unemployment2019","unemployment2020","covid_inc_unemployment"
"152","Netherlands",31,"107",30,"96",19,"72",68,17134.872,17097.13,1.0022,41850,408.5336,21,"46,257","131","5,951","20","N/A","N/A","170","2,700","347","349,150","20,380","17,131,629",156,8.8,15,10.7,41,4.7,27,81.5,"3.4","6.5","3.1"
"155","Nicaragua",126,"3.6",112,"5.7",145,"0.5",110,6624.554,6545.502,1.0121,130373,50.206,125,"759","","35","","370","354","","115","5","","","6,617,408",63,29.6,54,7.8,151,0.9,131,73.7,"6.1","11.1","5"
"163","Pakistan",37,"77",36,"78",81,"4",5,220892.34,216565.318,1.02,881912,245.5634,18,"66,457","2,429","1,395","78","24,131","40,931","111","301","6","532,037","2,413","220,485,909",66,29.5,181,2.7,169,0.6,166,68.4,"4.1","4.5","0.4"
"165","Panama",102,"7.5",80,"16",58,"10",128,4314.767,4246.439,1.0161,75417,56.3061,46,"12,531","","326","","7,540","4,665","79","2,908","76","63,202","14,669","4,308,467",87,23,72,7,99,2.3,53,78.9,"7.1","8.8","1.7"
"167","Paraguay",95,"8.9",103,"8.5",140,"0.6",106,7132.538,7044.636,1.0125,406752,17.3192,118,"917","","11","","413","493","1","129","2","28,337","3,977","7,124,576",93,22.2,53,7.8,138,1.3,66,77.6,"7.2","7.1","-0.1"
"168","Peru",56,"37",53,"36",50,"14",43,32971.854,32510.453,1.0142,1285216,25.2957,12,"148,285","","4,230","","62,791","81,264","926","4,503","128","963,617","29,263","32,929,707",90,22.7,128,5.3,119,1.6,125,74.2,"6.6","7.1","0.5"
"169","Philippines",40,"64",38,"68",28,"31",13,109581.078,108116.615,1.0135,342353,315.8045,39,"17,224","590","950","8","3,808","12,466","56","157","9","340,954","3,115","109,447,729",100,21.6,147,4.4,149,1,160,69.6,"5.1","6.2","1.1"
"170","Poland",24,"145",32,"88",52,"12",38,37846.611,37887.768,0.9989,312679,121.1715,35,"23,571","416","1,061","10","11,016","11,494","160","623","28","899,069","23,753","37,850,086",117,17.6,93,6.3,18,6.5,65,77.9,"3.3","9.9","6.6"
"171","Portugal",49,"46",67,"26",35,"22",88,10196.709,10226.187,0.9971,92090,111.0456,28,"32,203","257","1,396","13","19,186","11,621","66","3,157","137","795,838","78,030","10,199,174",113,19,39,9,68,3.4,37,80.9,"6.5","13.9","7.4"
"174","Romania",52,"43",57,"32",93,"3",61,19237.691,19364.557,0.9934,238391,81.2302,38,"19,133","151","1,259","11","13,046","4,828","160","994","65","425,819","22,123","19,248,085",92,22.4,136,5,22,6.3,103,75.6,"3.9","10.1","6.2"
"189","Serbia",61,"29",97,"9.7",111,"1.6",99,8737.371,8772.235,0.996,88361,99.2772,49,"11,381","27","242","","6,606","4,533","10","1,302","28","242,782","27,777","8,740,269",155,8.9,31,9.4,29,5.7,96,75.9,"10.9","13.4","2.5"
"190","Seychelles",175,"0.3",180,"0.4",123,"1.1",199,98.347,97.739,1.0062,452,216.2367,206,"11","","","","11","0","","112","","","","98,294",39,39.3,171,3.4,64,3.6,109,75.2,"3","3","0"
"195","Slovenia",83,"13",89,"12",147,"0.5",149,2078.938,2078.654,1.0001,20273,102.5331,101,"1,473","","108","","1,357","8","2","709","52","79,897","38,432","2,078,914",141,13.9,43,8.5,44,4.6,32,81.2,"4.6","9","4.4"
"199","South Korea",8,"487",19,"189",14,"109",28,51269.185,51225.308,1.0009,100210,511.1796,48,"11,441","39","269","","10,398","774","15","223","5","902,901","17,612","51,265,441",136,14.4,63,7.4,4,11.5,13,82.5,"3.8","4.5","0.7"
"201","Spain",14,"235",28,"114",13,"114",30,46754.778,46736.776,1.0004,505992,92.3666,4,"285,644","","27,121","","196,958","61,565","617","6,110","580","3,556,567","76,071","46,753,246",105,21.1,36,9.2,73,3,23,81.8,"14.1","20.8","6.7"
"202","Sri Lanka",89,"10",77,"18",60,"9.1",58,21413.249,21323.733,1.0042,65610,325.0074,98,"1,566","8","10","","781","775","1","73","0.5","62,208","2,906","21,405,475",162,6.7,178,3,63,3.6,76,77.1,"4.9","6.3","1.4"
"204","Suriname",145,"1.4",128,"3.2",130,"0.9",171,586.632,581.372,1.009,163820,3.5488,202,"12","","1","","9","2","","20","2","782","1,334","586,164",6,70,88,6.5,70,3.1,144,72.8,"8.6","9.5","0.9"
"206","Sweden",26,"129",41,"67",40,"18",91,10099.265,10036.379,1.0063,450295,22.2885,25,"37,113","637","4,395","45","4,971","27,747","190","3,677","435","238,800","23,658","10,093,745",132,15,13,11,96,2.4,17,82.2,"6.8","10.1","3.3"
"207","Switzerland",42,"58",40,"68",27,"34",100,8654.622,8591.365,1.0074,41284,208.104,29,"30,845","17","1,919","","28,400","526","27","3,566","222","394,717","45,637","8,649,038",163,6.6,8,12.1,40,4.7,12,82.7,"2.3","2.7","0.4"
"211","Tajikistan",80,"13",140,"2.1",139,"0.7",96,9537.645,9321.018,1.0232,143100,65.1364,73,"3,807","121","47","","1,865","1,895","","400","5","","","9,516,984",54,31.5,79,6.9,39,4.8,165,68.4,"no data","no data","#VALUE!"
"213","Thailand",22,"158",26,"123",17,"83",20,69799.978,69625.582,1.0025,513120,135.6906,78,"3,077","1","57","","2,961","59","59","44","0.8","375,453","5,380","69,784,967",161,7.2,164,3.8,105,2.1,113,75.1,"1.1","1.1","0"
"216","Trinidad and Tobago",96,"8.7",88,"12",73,"5.8",153,1399.488,1394.973,1.0032,5130,271.9246,170,"116","","8","","108","0","","83","6","3,122","2,231","1,399,098",106,20,105,6,74,3,135,73.4,"5","5","0"
"217","Tunisia",82,"13",87,"12",71,"6.2",78,11818.619,11694.719,1.0106,163610,71.4792,110,"1,076","5","48","","950","78","2","91","4","51,171","4,334","11,807,501",127,15.5,82,6.7,103,2.2,97,75.9,"14.9","no data","#VALUE!"
"218","Turkey",20,"195",48,"41",30,"30",18,84339.067,83429.615,1.0109,783562,106.4748,10,"162,120","","4,489","","125,963","31,668","662","1,924","53","1,964,364","23,314","84,257,335",98,21.9,152,4.1,85,2.7,107,75.3,"13.7","17.2","3.5"
"223","Ukraine",23,"151",37,"76",72,"6.2",33,43733.762,43993.638,0.9941,603500,72.8975,36,"23,204","393","696","17","9,311","13,197","273","530","16","348,279","7,960","43,755,130",168,3.8,104,6.1,6,8.8,146,72.4,"8.5","10.1","1.6"
"225","United Kingdom",11,"319",14,"320",4,"242",21,67886.011,67530.172,1.0053,242900,278.0164,5,"272,826","1,604","38,376","215","N/A","N/A","1,559","4,021","566","4,043,686","59,593","67,854,937",133,15,27,9.9,82,2.8,38,80.9,"3.8","4.8","1"
"226","United States",2,"3,868.00",1,"8,682.00",1,"1,398.00",3,331002.651,329064.917,1.0059,9372610,35.1092,1,"1,802,180","8,650","104,786","244","520,928","1,176,466","17,203","5,447","317","16,908,725","51,110","330,832,890",128,15.1,3,16.8,76,2.9,44,80.1,"3.7","10.4","6.7"
"227","Uruguay",90,"9.8",92,"11",104,"2",134,3473.73,3461.734,1.0035,181034,19.122,122,"816","","22","","680","114","6","235","6","42,624","12,274","3,472,692",150,9.7,37,9.2,83,2.8,67,77.6,"9.4","10.5","1.1"
"230","Venezuela",33,"95",15,"271",103,"2",50,28435.94,28515.829,0.9972,916445,31.1157,103,"1,370","","14","","302","1,054","3","48","0.5","961,899","33,819","28,442,623",109,19.7,174,3.2,159,0.8,90,76.2,"no data","no data","#VALUE!"
