"","country","elec_rank","elec_consumption_bil_kwh","gas_rank","gas_consumption_k_barrels_per_day","jet_rank","jet_consumption_k_barrels_per_day","pop_rank","pop2020","pop2019","pop_growth_rate","land_area","pop_density","covid_rank","total_cases","new_cases","total_deaths","new_deaths","total_recovered","active_cases","serious_critical_cases","cases_per_M_pop","deaths_per_M_pop","total_tests","tests_per_M_pop","population_covid","pov_rank","pop_below_poverty_line","health_dol_rank","health_expenditure_percent_GDP","beds_rank","bed_density_per_k_pop","life_rank","life_expectancy_at_birth_years","unemployment2019","unemployment2020","covid_inc_unemployment"
"205","Portugal",49,46,67,26,35,22,88,10196.709,10226.187,0.9971,92090,111.0456,28,32203,257,1396,13,19186,11621,66,3157,137,795838,78030,10199174,113,19,39,9,68,3.4,37,80.9,6.5,13.9,7.4
"211","Romania",52,43,57,32,93,3,61,19237.691,19364.557,0.9934,238391,81.2302,38,19133,151,1259,11,13046,4828,160,994,65,425819,22123,19248085,92,22.4,136,5,22,6.3,103,75.6,3.9,10.1,6.2
"229","Serbia",61,29,97,9.7,111,1.6,99,8737.371,8772.235,0.996,88361,99.2772,49,11381,27,242,0,6606,4533,10,1302,28,242782,27777,8740269,155,8.9,31,9.4,29,5.7,96,75.9,10.9,13.4,2.5
"230","Seychelles",175,0.3,180,0.4,123,1.1,199,98.347,97.739,1.0062,452,216.2367,206,11,0,0,0,11,0,0,112,0,0,0,98294,39,39.3,171,3.4,64,3.6,109,75.2,3,3,0
"236","Slovenia",83,13,89,12,147,0.5,149,2078.938,2078.654,1.0001,20273,102.5331,101,1473,0,108,0,1357,8,2,709,52,79897,38432,2078914,141,13.9,43,8.5,44,4.6,32,81.2,4.6,9,4.4
"240","South Korea",8,487,19,189,14,109,28,51269.185,51225.308,1.0009,100210,511.1796,48,11441,39,269,0,10398,774,15,223,5,902901,17612,51265441,136,14.4,63,7.4,4,11.5,13,82.5,3.8,4.5,0.7
"242","Spain",14,235,28,114,13,114,30,46754.778,46736.776,1.0004,505992,92.3666,4,285644,0,27121,0,196958,61565,617,6110,580,3556567,76071,46753246,105,21.1,36,9.2,73,3,23,81.8,14.1,20.8,6.7
"243","Sri Lanka",89,10,77,18,60,9.1,58,21413.249,21323.733,1.0042,65610,325.0074,98,1566,8,10,0,781,775,1,73,0.5,62208,2906,21405475,162,6.7,178,3,63,3.6,76,77.1,4.9,6.3,1.4
"247","Suriname",145,1.4,128,3.2,130,0.9,171,586.632,581.372,1.009,163820,3.5488,202,12,0,1,0,9,2,0,20,2,782,1334,586164,6,70,88,6.5,70,3.1,144,72.8,8.6,9.5,0.9
"249","Sweden",26,129,41,67,40,18,91,10099.265,10036.379,1.0063,450295,22.2885,25,37113,637,4395,45,4971,27747,190,3677,435,238800,23658,10093745,132,15,13,11,96,2.4,17,82.2,6.8,10.1,3.3
"250","Switzerland",42,58,40,68,27,34,100,8654.622,8591.365,1.0074,41284,208.104,29,30845,17,1919,0,28400,526,27,3566,222,394717,45637,8649038,163,6.6,8,12.1,40,4.7,12,82.7,2.3,2.7,0.4
"259","Thailand",22,158,26,123,17,83,20,69799.978,69625.582,1.0025,513120,135.6906,78,3077,1,57,0,2961,59,59,44,0.8,375453,5380,69784967,161,7.2,164,3.8,105,2.1,113,75.1,1.1,1.1,0
"265","Trinidad and Tobago",96,8.7,88,12,73,5.8,153,1399.488,1394.973,1.0032,5130,271.9246,170,116,0,8,0,108,0,0,83,6,3122,2231,1399098,106,20,105,6,74,3,135,73.4,5,5,0
"267","Turkey",20,195,48,41,30,30,18,84339.067,83429.615,1.0109,783562,106.4748,10,162120,0,4489,0,125963,31668,662,1924,53,1964364,23314,84257335,98,21.9,152,4.1,85,2.7,107,75.3,13.7,17.2,3.5
"273","Ukraine",23,151,37,76,72,6.2,33,43733.762,43993.638,0.9941,603500,72.8975,36,23204,393,696,17,9311,13197,273,530,16,348279,7960,43755130,168,3.8,104,6.1,6,8.8,146,72.4,8.5,10.1,1.6
"275","United Kingdom",11,319,14,320,4,242,21,67886.011,67530.172,1.0053,242900,278.0164,5,272826,1604,38376,215,0,0,1559,4021,566,4043686,59593,67854937,133,15,27,9.9,82,2.8,38,80.9,3.8,4.8,1
"276","United States",2,3868,1,8682,1,1398,3,331002.651,329064.917,1.0059,9372610,35.1092,1,1802180,8650,104786,244,520928,1176466,17203,5447,317,16908725,51110,330832890,128,15.1,3,16.8,76,2.9,44,80.1,3.7,10.4,6.7
"278","Uruguay",90,9.8,92,11,104,2,134,3473.73,3461.734,1.0035,181034,19.122,122,816,0,22,0,680,114,6,235,6,42624,12274,3472692,150,9.7,37,9.2,83,2.8,67,77.6,9.4,10.5,1.1
